Name;Station;Time(norwegian mean time);Snow depth
Hornsund;SN99754;30.01.1998;47
Hornsund;SN99754;31.01.1998;46
Hornsund;SN99754;01.02.1998;46
Hornsund;SN99754;02.02.1998;45
Hornsund;SN99754;03.02.1998;45
Hornsund;SN99754;04.02.1998;45
Hornsund;SN99754;05.02.1998;45
Hornsund;SN99754;06.02.1998;45
Hornsund;SN99754;07.02.1998;44
Hornsund;SN99754;08.02.1998;43
Hornsund;SN99754;09.02.1998;43
Hornsund;SN99754;10.02.1998;43
Hornsund;SN99754;11.02.1998;45
Hornsund;SN99754;12.02.1998;50
Hornsund;SN99754;13.02.1998;55
Hornsund;SN99754;14.02.1998;55
Hornsund;SN99754;15.02.1998;50
Hornsund;SN99754;16.02.1998;50
Hornsund;SN99754;17.02.1998;52
Hornsund;SN99754;18.02.1998;54
Hornsund;SN99754;19.02.1998;55
Hornsund;SN99754;20.02.1998;55
Hornsund;SN99754;21.02.1998;54
Hornsund;SN99754;22.02.1998;52
Hornsund;SN99754;23.02.1998;52
Hornsund;SN99754;24.02.1998;52
Hornsund;SN99754;25.02.1998;52
Hornsund;SN99754;26.02.1998;40
Hornsund;SN99754;27.02.1998;52
Hornsund;SN99754;28.02.1998;50
Hornsund;SN99754;01.03.1998;50
Hornsund;SN99754;02.03.1998;50
Hornsund;SN99754;03.03.1998;49
Hornsund;SN99754;04.03.1998;49
Hornsund;SN99754;05.03.1998;49
Hornsund;SN99754;06.03.1998;48
Hornsund;SN99754;07.03.1998;48
Hornsund;SN99754;08.03.1998;48
Hornsund;SN99754;09.03.1998;47
Hornsund;SN99754;10.03.1998;50
Hornsund;SN99754;11.03.1998;48
Hornsund;SN99754;12.03.1998;48
Hornsund;SN99754;14.03.1998;55
Hornsund;SN99754;15.03.1998;58
Hornsund;SN99754;16.03.1998;65
Hornsund;SN99754;17.03.1998;68
Hornsund;SN99754;18.03.1998;70
Hornsund;SN99754;19.03.1998;65
Hornsund;SN99754;20.03.1998;65
Hornsund;SN99754;21.03.1998;63
Hornsund;SN99754;22.03.1998;65
Hornsund;SN99754;23.03.1998;68
Hornsund;SN99754;24.03.1998;68
Hornsund;SN99754;25.03.1998;68
Hornsund;SN99754;26.03.1998;69
Hornsund;SN99754;27.03.1998;68
Hornsund;SN99754;28.03.1998;68
Hornsund;SN99754;29.03.1998;68
Hornsund;SN99754;30.03.1998;65
Hornsund;SN99754;31.03.1998;65
Hornsund;SN99754;01.04.1998;63
Hornsund;SN99754;02.04.1998;63
Hornsund;SN99754;03.04.1998;60
Hornsund;SN99754;04.04.1998;60
Hornsund;SN99754;05.04.1998;58
Hornsund;SN99754;06.04.1998;58
Hornsund;SN99754;07.04.1998;58
Hornsund;SN99754;08.04.1998;58
Hornsund;SN99754;09.04.1998;58
Hornsund;SN99754;10.04.1998;58
Hornsund;SN99754;11.04.1998;58
Hornsund;SN99754;12.04.1998;58
Hornsund;SN99754;13.04.1998;58
Hornsund;SN99754;14.04.1998;57
Hornsund;SN99754;15.04.1998;62
Hornsund;SN99754;16.04.1998;80
Hornsund;SN99754;17.04.1998;78
Hornsund;SN99754;18.04.1998;76
Hornsund;SN99754;19.04.1998;75
Hornsund;SN99754;20.04.1998;73
Hornsund;SN99754;21.04.1998;72
Hornsund;SN99754;22.04.1998;68
Hornsund;SN99754;23.04.1998;67
Hornsund;SN99754;24.04.1998;69
Hornsund;SN99754;25.04.1998;68
Hornsund;SN99754;26.04.1998;66
Hornsund;SN99754;27.04.1998;65
Hornsund;SN99754;28.04.1998;64
Hornsund;SN99754;29.04.1998;64
Hornsund;SN99754;30.04.1998;66
Hornsund;SN99754;01.05.1998;65
Hornsund;SN99754;02.05.1998;64
Hornsund;SN99754;03.05.1998;64
